ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
241,H 67,454720.136,7660364.740,22962224,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 67,55,4,7093594,H 66,NW,3; 4; 5; 11; 12,null,>300m,TRUE,adjacent,unfavourable,9,<15m,isolated,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,,241
242,H 68,452992.883,7661866.998,22517516,Hungorob,,Toiwo & Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 68,3,6,6026843,N 3,SW,1,null,>300m,TRUE,adjacent,± vertical rock,3,<3m,isolated,magnificent,none,disintegration of rock,none,NA,NA,NA,NA,NA,NA,NA,NA,,242
242,H 68,452992.883,7661866.998,22517516,Hungorob,,Toiwo & Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 68,3,6,6026843,N 3,SW,1,null,>300m,TRUE,adjacent,± vertical rock,3,<3m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,242
243,H 69,454095.796,7659016.762,21957948,Hungorob,,Toiwo & Shipahu,03.12.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 69,6,5,973557,H 57,N,1,null,>300m,TRUE,adjacent,± vertical rock,3,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,243
244,H 70,449893.564,7657097.554,19455068,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 70,10,5,1716343,A 64,SW,1; 2,null,>300m,TRUE,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,244
245,H 71,449619.943,7657829.214,19786523,Hungorob,,Toiwo & Shipahu,13.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 71,88,3,59688,A 64,SE,1; 6; 12,null,within shouting distance,TRUE,adjacent,unfavourable,21,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,245
246,H 72,449886.266,7657847.610,19342479,Hungorob,,Toiwo & Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 72,186,3,508545,H 73,NE,1; 8; 12,null,<300m,TRUE,within shouting distance,unfavourable,9,<15m,marginal,magnificent,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,246
246,H 72,449886.266,7657847.610,19342479,Hungorob,,Toiwo & Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 72,186,3,508545,H 73,NE,1; 8; 12,null,<300m,TRUE,within shouting distance,unfavourable,9,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,246
247,H 73,449407.315,7657266.500,19257426,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 73,11,5,508545,H 72,SE,1,null,>300m,TRUE,adjacent,± vertical rock,1,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,247
248,H 74,449262.309,7657286.497,19323719,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 74,198,2,3301991,H 75,SW,1; 5; 6; 12,TRUE,adjacent,TRUE,within shouting distance,unfavourable,8,<1m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,248
249,H 75,449736.132,7657108.670,19717997,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 75,389,2,1792526,H 78,W,3; 4; 5; 10,TRUE,within shouting distance,TRUE,adjacent,unfavourable,20,<15m,central,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,249
250,H 76,449838.933,7658248.936,1973835,Hungorob,,Toiwo & Shipahu,12.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 76,5,5,1368669,H 77,E,5; 9,null,>300m,TRUE,within shouting distance,unfavourable,4,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,250
251,H 77,449580.679,7658359.203,19519378,Hungorob,,Toiwo & Shipahu,12.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 77,66,3,1368669,H 76,SE,5; 6; 10,null,>300m,TRUE,within shouting distance,unfavourable,8,<3m,marginal,magnificent,Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,251
252,H 78,450704.072,7658187.630,19404056,Hungorob,,Walter,18.04.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 78,5,5,1792526,H 75,W,1,null,>300m,TRUE,adjacent,± vertical rock,8,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,252
253,H 79,452862.814,7660741.610,20574177,Hungorob,,Toiwo,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 79,71,3,679285,H 80,N,8; 11,null,>300m,null,adjacent,unfavourable,14,<15m,isolated,rather nice,Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,253
254,H 80,452864.682,7660596.915,20473116,Hungorob,,Toiwo,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 80,28,4,679285,H 79,W,1,null,>300m,TRUE,within shouting distance,± vertical rock,2,<15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,254
255,H 81,452462.363,7660750.166,20949875,Hungorob,,Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 81,24,4,3331796,H 80,NW,6; 11,null,>300m,null,>300m,unfavourable,16,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,255
256,H 82,452047.299,7660638.998,19476041,Hungorob,,Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 82,8,5,988251,H 83,W,5; 6,null,<300m,null,>300m,unfavourable,2,<3m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,256
257,H 83,452459.659,7660310.393,19583941,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 83,9,5,988251,H 82,NE,4; 5,null,<300m,TRUE,adjacent,unfavourable,2,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,257
258,H 84,452172.239,7659880.353,19266774,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 84,31,4,614855,H 89,S,1,TRUE,adjacent,null,<300m,± vertical rock,4,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,258
259,H 85,451460.018,7660969.265,1926955,Hungorob,,J. Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 85,339,2,1387726,H 86,SW,4; 5; 7; 8; 9; 10; 11,null,<300m,TRUE,adjacent,spacious,22,>15m,central,rather nice,Fireplace and Pager's Camp,disintegration of rock,many,NA,NA,NA,NA,NA,NA,NA,NA,,259
259,H 85,451460.018,7660969.265,1926955,Hungorob,,J. Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 85,339,2,1387726,H 86,SW,4; 5; 7; 8; 9; 10; 11,null,<300m,TRUE,adjacent,spacious,22,>15m,central,rather nice,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,259
260,H 86,451068.840,7659816.169,19229502,Hungorob,,Shipahu,22.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 86,1,6,1387726,H 85,E,4,null,<300m,TRUE,within shouting distance,unfavourable,8,<3m,central,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,,260
261,H 87,452420.870,7659479.206,19198951,Hungorob,,Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 87,171,3,950111,H 90,S,1,null,<300m,TRUE,adjacent,± vertical rock,16,<3m,marginal,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,261
262,H 88,452736.072,7659600.722,19331403,Hungorob,,Shipahu,24.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 88,27,4,46433,H 89,W,8,null,within shouting distance,null,<300m,unfavourable,8,<3m,marginal,rather nice,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,,262
263,H 89,452943.281,7659274.306,19252085,Hungorob,,Shipahu,24.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 89,26,4,46433,H 88,SE,5,null,within shouting distance,TRUE,adjacent,unfavourable,5,<1m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,263
264,H 90,452444.044,7659977.982,19150019,Hungorob,,Toiwo,16.07.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 90,20,4,950111,H 87,N,4,TRUE,adjacent,TRUE,within shouting distance,unfavourable,5,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,264
265,H 91,451633.452,7659192.594,19047014,Hungorob,,A. Viereck,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 91,4,6,2026468,H 92,N,1,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,2,>15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,265
266,H 92,451933.324,7659384.619,18960407,Hungorob,,Toiwo & Shipahu,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 92,40,4,2026468,H 91,W,4,TRUE,adjacent,null,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,266
267,H 93,451879.555,7659036.478,19037658,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 93,14,5,118424,H 94,E,1,null,<300m,TRUE,adjacent,± vertical rock,3,<15m,marginal,rather nice,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,267
267,H 93,451879.555,7659036.478,19037658,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 93,14,5,118424,H 94,E,1,null,<300m,TRUE,adjacent,± vertical rock,3,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,267
268,H 94,451200.345,7659983.051,19003548,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 94,24,4,118424,H 93,NE,5; 6,null,<300m,TRUE,adjacent,unfavourable,13,<1m,marginal,rather nice,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,268
268,H 94,451200.345,7659983.051,19003548,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 94,24,4,118424,H 93,NE,5; 6,null,<300m,TRUE,adjacent,unfavourable,13,<1m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,268
268,H 94,451200.345,7659983.051,19003548,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 94,24,4,118424,H 93,NE,5; 6,null,<300m,TRUE,adjacent,unfavourable,13,<1m,marginal,rather nice,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,,268
269,H 95,451239.445,7659882.012,19017772,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 95,16,5,1492317,H 96,E,5,null,<300m,TRUE,within shouting distance,spacious,8,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,269
270,H 96,451094.788,7659215.593,19105701,Hungorob,,Walter,1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 96,80,3,1193612,H 97,E,3; 4; 5,null,<300m,TRUE,adjacent,unfavourable,30,<15m,marginal,rather nice,Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,270
271,H 97,451723.421,7659377.953,19075897,Hungorob,,Shipahu,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 97,28,4,1193612,H 96,E,4,null,<300m,TRUE,adjacent,unfavourable,10,<3m,marginal,rather nice,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,271
272,H 98,450403.304,7655996.062,8401802,Hungorob,,Matheus,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 98,12,5,412518,H 99,E; W,5; 9,null,<300m,null,<300m,spacious,13,<3m,marginal,rather nice,none,disintegration of rock,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,272
272,H 98,450403.304,7655996.062,8401802,Hungorob,,Matheus,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 98,12,5,412518,H 99,E; W,5; 9,null,<300m,null,<300m,spacious,13,<3m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,272
273,H 99,450549.492,7655526.648,8412213,Hungorob,,Shipahu,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 99,7,5,412518,H 98,E,5; 9,null,<300m,null,>300m,unfavourable,13,<1m,marginal,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,273
274,H 100,450398.779,7655893.473,8594458,Hungorob,,Shipahu,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 100,14,5,350555,H 101,S,5; 10; 12,null,within shouting distance,TRUE,adjacent,unfavourable,20,<3m,marginal,rather nice,Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,274
275,H 101,450740.215,7655658.918,8655394,Hungorob,,Matheus,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 101,14,5,350555,H 100,SW,8,null,<300m,null,<300m,spacious,40,<15m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,275
276,H 102,450167.915,7655645.920,8711323,Hungorob,,Matheus,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 102,45,4,380173,H 107,NE,6; 9,null,<300m,TRUE,adjacent,spacious,12,<3m,central,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,276
277,H 103,450190.582,7655404.294,8795257,Hungorob,,Shipahu,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 103,275,2,305262,H 108,SW,1; 4; 5; 6; 12,null,within shouting distance,TRUE,adjacent,unfavourable; ± vertical rock,21,<15m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,277
278,H 104,450998.597,7654774.668,7684,Hungorob,,Shipahu,14.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 104,9,5,1326081,H 105,SE,4; 5,null,>300m,TRUE,adjacent,unfavourable,7,<3m,isolated,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,278
279,H 105,450610.306,7654721.570,7843841,Hungorob,,Matheus,14.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 105,7,5,1326081,H 104,W,1,null,>300m,null,within shouting distance,± vertical rock,12,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,279
280,H 106,450704.362,7654924.889,7453252,Hungorob,,Matheus,19.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 106,6,5,356381,H 105,S,5,null,>300m,null,>300m,unfavourable,9,<1m,isolated,rather nice,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,280
280,H 106,450704.362,7654924.889,7453252,Hungorob,,Matheus,19.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 106,6,5,356381,H 105,S,5,null,>300m,null,>300m,unfavourable,9,<1m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,280
280,H 106,450704.362,7654924.889,7453252,Hungorob,,Matheus,19.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 106,6,5,356381,H 105,S,5,null,>300m,null,>300m,unfavourable,9,<1m,isolated,rather nice,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,,280
281,H 107,450650.363,7655242.588,8628385,Hungorob,,Shipahu,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 107,4,6,380173,H 102,W,1,null,adjacent,TRUE,within shouting distance,± vertical rock,2,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,281
282,H 108,450671.016,7655854.378,8752038,Hungorob,,Shipahu,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 108,18,5,305262,H 103,E; S,1; 3; 12,null,within shouting distance,null,within shouting distance,unfavourable,9,<15m,central,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,282
283,H 109,450006.319,7655641.808,8671435,Hungorob,,Shipahu,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 109,50,4,743744,H 110,E; S,1; 2,null,within shouting distance,TRUE,adjacent,± vertical rock,10,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,283
284,H 110,450453.745,7655545.805,8773419,Hungorob,,Shipahu,10.12.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 110,95,3,300503,H 111,S,1; 5; 6; 7; 9; 12,null,within shouting distance,TRUE,within shouting distance,unfavourable,36,<15m,marginal,magnificent,none,disintegration of rock,none,NA,NA,NA,NA,NA,NA,NA,NA,,284
284,H 110,450453.745,7655545.805,8773419,Hungorob,,Shipahu,10.12.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 110,95,3,300503,H 111,S,1; 5; 6; 7; 9; 12,null,within shouting distance,TRUE,within shouting distance,unfavourable,36,<15m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,284
284,H 110,450453.745,7655545.805,8773419,Hungorob,,Shipahu,10.12.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 110,95,3,300503,H 111,S,1; 5; 6; 7; 9; 12,null,within shouting distance,TRUE,within shouting distance,unfavourable,36,<15m,marginal,magnificent,none,vegetation impact,none,NA,NA,NA,NA,NA,NA,NA,NA,,284
