ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
217,H 43,454362.049,7658710.123,2141.7525,Hungorob,„Schlangenhöhle“,Walter,1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 43,416,1,90.8616,H 46,W,1; 4; 5; 6; 8; 9; 12,,adjacent,,<300m,spacious,45,>15m,marginal,magnificent,Fireplace and Pager's Camp,human impact; water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
218,H 44,453694.653,7658471.106,2137.7676,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 44,37,4,123.4427,H 45,S,4; 5,,<300m,,<300m,unfavourable,5,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
219,H 45,453374.095,7658415.296,2132.9664,Hungorob,„Kleyenstübers Kinderstube“,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 45,12,5,90.8163,H 46,S,3; 4,,<300m,,<300m,unfavourable,10,<3m,marginal,magnificent,Fireplace,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
220,H 46,454133.519,7658937.381,2139.387,Hungorob,,With & Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 46,5,5,48.3789,H 47,N,1,,<300m,True,adjacent,± vertical rock,2,<3m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
221,H 47,454917.027,7658426.424,2140.5891,Hungorob,,Toiwo & Shipahu,18.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 47,21,4,48.3789,H 46,W,1,,<300m,True,within shouting distance,± vertical rock,2,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
222,H 48,454516.164,7658216.121,2180.628,Hungorob,,Lempp,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 48,17,5,81.0215,H 50,SE,1,,<300m,True,adjacent,± vertical rock,4,<15m,marginal,rather nice,Pager's Camp,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
223,H 49,454791.634,7659802.287,2187.924,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 49,4,6,41.4757,H 50,W,1,,<300m,True,adjacent,± vertical rock,3,<3m,central,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
224,H 50,454525.263,7658805.798,2185.0055,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 50,4,6,41.4757,H 49,SE,1; 12,,<300m,True,adjacent,± vertical rock,0,<15m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
225,H 51,454763.136,7658522.790,2189.1833,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 51,23,4,35.91,H 52,W,5,,<300m,True,adjacent,unfavourable,4,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
226,H 52,454297.807,7658229.884,2189.6723,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 52,18,5,35.91,H 51,SW,5; 10,,<300m,,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
227,H 53,454853.042,7658871.342,2198.92,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 53,10,5,157.1137,H 52,NW,3; 4,,>300m,True,within shouting distance,unfavourable,8,<15m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
228,H 54,454458.915,7658075.222,2210.0822,Hungorob,,Toiwo & Shipahu,08.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 54,7,5,181.2875,H 53,N,5,,<300m,,<300m,unfavourable,4,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
229,H 55,454669.211,7659394.321,2219.8821,Hungorob,,Toiwo & Shipahu,08.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 55,65,3,176.1454,H 56,S,3; 4; 5,,>300m,,>300m,unfavourable,6,>15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
230,H 56,454369.560,7659643.944,2219.3055,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 56,13,5,176.1454,H 55,S,1; 12,,>300m,True,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
231,H 57,454478.552,7659234.059,2193.9995,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 57,16,5,97.3557,H 69,SE,4,,>300m,,within shouting distance,unfavourable,2,<1m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
232,H 58,453911.485,7659192.210,2230.9022,Hungorob,,H. Lempp,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 58,52,4,71.262,H 59,N,1,True,within shouting distance,True,adjacent,± vertical rock,2,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
233,H 59,453089.568,7659496.404,2266.7847,Hungorob,,Walter?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 59,71,3,71.262,H 58,S; SW,4; 5; 6; 12,True,within shouting distance,True,within shouting distance,unfavourable,19,<1m,marginal,magnificent,European; Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
234,H 60,453498.452,7660512.461,2254.9146,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 60,24,4,82.3873,H 62,SE,5,,<300m,,>300m,unfavourable,10,<3m,isolated,rather nice,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
235,H 61,453324.526,7660858.068,2255.9604,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 61,7,5,235.581,H 60,N,7,,>300m,,<300m,unfavourable,3,<3m,isolated,rather nice,none,disintegration of rock; water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
236,H 62,453646.260,7659838.119,2238.1436,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 62,83,3,82.3873,H 60,E,1; 4; 12,,<300m,True,adjacent,unfavourable; ± vertical rock,3,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
237,H 63,453269.014,7660164.096,2255.2496,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 63,38,4,76.1924,H 64,W,5; 10,,<300m,True,adjacent,spacious,3,<1m,marginal,poor,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
238,H 64,453332.429,7660539.163,2257.8832,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 64,15,5,76.1924,H 63,W,1,,>300m,True,adjacent,± vertical rock,9,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
239,H 65,454122.761,7659219.496,2283.3574,Hungorob,,Toiwo & Shipahu,03.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 65,15,5,253.1008,H 59,NW,1,,<300m,,>300m,± vertical rock,3,<15m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
240,H 66,454177.586,7660901.666,2300.8414,Hungorob,,Walter?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 66,6,5,270.2685,H 65,N,1,,<300m,True,adjacent,± vertical rock,3,>15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
241,H 67,454720.136,7660364.740,2296.2224,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 67,55,4,709.3594,H 66,NW,3; 4; 5; 11; 12,,>300m,True,adjacent,unfavourable,9,<15m,isolated,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
242,H 68,452992.883,7661866.998,2251.7516,Hungorob,,Toiwo & Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 68,3,6,602.6843,N 3,SW,1,,>300m,True,adjacent,± vertical rock,3,<3m,isolated,magnificent,none,disintegration of rock; water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
243,H 69,454095.796,7659016.762,2195.7948,Hungorob,,Toiwo & Shipahu,03.12.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 69,6,5,97.3557,H 57,N,1,,>300m,True,adjacent,± vertical rock,3,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
244,H 70,449893.564,7657097.554,1945.5068,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 70,10,5,171.6343,A 64,SW,1; 2,,>300m,True,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
245,H 71,449619.943,7657829.214,1978.6523,Hungorob,,Toiwo & Shipahu,13.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 71,88,3,59.688,A 64,SE,1; 6; 12,,within shouting distance,True,adjacent,unfavourable,21,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
246,H 72,449886.266,7657847.610,1934.2479,Hungorob,,Toiwo & Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 72,186,3,50.8545,H 73,NE,1; 8; 12,,<300m,True,within shouting distance,unfavourable,9,<15m,marginal,magnificent,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
247,H 73,449407.315,7657266.500,1925.7426,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 73,11,5,50.8545,H 72,SE,1,,>300m,True,adjacent,± vertical rock,1,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
248,H 74,449262.309,7657286.497,1932.3719,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 74,198,2,330.1991,H 75,SW,1; 5; 6; 12,True,adjacent,True,within shouting distance,unfavourable,8,<1m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
249,H 75,449736.132,7657108.670,1971.7997,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 75,389,2,179.2526,H 78,W,3; 4; 5; 10,True,within shouting distance,True,adjacent,unfavourable,20,<15m,central,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
250,H 76,449838.933,7658248.936,1973.835,Hungorob,,Toiwo & Shipahu,12.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 76,5,5,136.8669,H 77,E,5; 9,,>300m,True,within shouting distance,unfavourable,4,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
251,H 77,449580.679,7658359.203,1951.9378,Hungorob,,Toiwo & Shipahu,12.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 77,66,3,136.8669,H 76,SE,5; 6; 10,,>300m,True,within shouting distance,unfavourable,8,<3m,marginal,magnificent,Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
252,H 78,450704.072,7658187.630,1940.4056,Hungorob,,Walter,18.04.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 78,5,5,179.2526,H 75,W,1,,>300m,True,adjacent,± vertical rock,8,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
253,H 79,452862.814,7660741.610,2057.4177,Hungorob,,Toiwo,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 79,71,3,67.9285,H 80,N,8; 11,,>300m,,adjacent,unfavourable,14,<15m,isolated,rather nice,Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
254,H 80,452864.682,7660596.915,2047.3116,Hungorob,,Toiwo,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 80,28,4,67.9285,H 79,W,1,,>300m,True,within shouting distance,± vertical rock,2,<15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
255,H 81,452462.363,7660750.166,2094.9875,Hungorob,,Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 81,24,4,333.1796,H 80,NW,6; 11,,>300m,,>300m,unfavourable,16,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
256,H 82,452047.299,7660638.998,1947.6041,Hungorob,,Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 82,8,5,98.8251,H 83,W,5; 6,,<300m,,>300m,unfavourable,2,<3m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
257,H 83,452459.659,7660310.393,1958.3941,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 83,9,5,98.8251,H 82,NE,4; 5,,<300m,True,adjacent,unfavourable,2,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
258,H 84,452172.239,7659880.353,1926.6774,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 84,31,4,61.4855,H 89,S,1,True,adjacent,,<300m,± vertical rock,4,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
259,H 85,451460.018,7660969.265,1926.955,Hungorob,,J. Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 85,339,2,138.7726,H 86,SW,4; 5; 7; 8; 9; 10; 11,,<300m,True,adjacent,spacious,22,>15m,central,rather nice,Fireplace and Pager's Camp,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
260,H 86,451068.840,7659816.169,1922.9502,Hungorob,,Shipahu,22.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 86,1,6,138.7726,H 85,E,4,,<300m,True,within shouting distance,unfavourable,8,<3m,central,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
261,H 87,452420.870,7659479.206,1919.8951,Hungorob,,Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 87,171,3,95.0111,H 90,S,1,,<300m,True,adjacent,± vertical rock,16,<3m,marginal,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
262,H 88,452736.072,7659600.722,1933.1403,Hungorob,,Shipahu,24.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 88,27,4,46.433,H 89,W,8,,within shouting distance,,<300m,unfavourable,8,<3m,marginal,rather nice,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,
263,H 89,452943.281,7659274.306,1925.2085,Hungorob,,Shipahu,24.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 89,26,4,46.433,H 88,SE,5,,within shouting distance,True,adjacent,unfavourable,5,<1m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
264,H 90,452444.044,7659977.982,1915.0019,Hungorob,,Toiwo,16.07.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 90,20,4,95.0111,H 87,N,4,True,adjacent,True,within shouting distance,unfavourable,5,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
265,H 91,451633.452,7659192.594,1904.7014,Hungorob,,A. Viereck,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 91,4,6,202.6468,H 92,N,1,True,within shouting distance,True,adjacent,± vertical rock,2,>15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
266,H 92,451933.324,7659384.619,1896.0407,Hungorob,,Toiwo & Shipahu,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 92,40,4,202.6468,H 91,W,4,True,adjacent,,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
267,H 93,451879.555,7659036.478,1903.7658,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 93,14,5,118.424,H 94,E,1,,<300m,True,adjacent,± vertical rock,3,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
268,H 94,451200.345,7659983.051,1900.3548,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 94,24,4,118.424,H 93,NE,5; 6,,<300m,True,adjacent,unfavourable,13,<1m,marginal,rather nice,none,disintegration of rock; water run-off; vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
269,H 95,451239.445,7659882.012,1901.7772,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 95,16,5,149.2317,H 96,E,5,,<300m,True,within shouting distance,spacious,8,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
270,H 96,451094.788,7659215.593,1910.5701,Hungorob,,Walter,1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 96,80,3,119.3612,H 97,E,3; 4; 5,,<300m,True,adjacent,unfavourable,30,<15m,marginal,rather nice,Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
271,H 97,451723.421,7659377.953,1907.5897,Hungorob,,Shipahu,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 97,28,4,119.3612,H 96,E,4,,<300m,True,adjacent,unfavourable,10,<3m,marginal,rather nice,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
272,H 98,450403.304,7655996.062,840.1802,Hungorob,,Matheus,12.10.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 98,12,5,41.2518,H 99,E; W,5; 9,,<300m,,<300m,spacious,13,<3m,marginal,rather nice,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
